id,name,group,pattern,equipment,level,tracks,source,purpose,caution
single-arm-cable-chest-press,Single-Arm Cable Chest Press,Chest,Push,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
single-arm-dumbbell-bench-press,Single-Arm Dumbbell Bench Press,Chest,Push,Dumbbells,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
single-arm-medicine-ball-pushup,Single-Arm Medicine-Ball Pushup,Chest,Push,Medicine ball,Advanced,50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,Best for trained clients; regress when control or comfort is uncertain.
single-leg-decline-pushup,Single-Leg Decline Pushup,Chest,Push,Body weight,Intermediate,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
spiderman-pushup,Spiderman Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
stacked-feet-pushup,Stacked-Feet Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
staggered-hands-pushup,Staggered-Hands Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
standing-cable-fly,Standing Cable Fly,Chest,Push,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
suspended-pushup,Suspended Pushup,Chest,Push,Body weight,Intermediate,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
swiss-ball-dumbbell-chest-press,Swiss-Ball Dumbbell Chest Press,Chest,Push,Dumbbells,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
swiss-ball-dumbbell-fly,Swiss-Ball Dumbbell Fly,Chest,Push,Dumbbells,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
swiss-ball-pushup,Swiss-Ball Pushup,Chest,Push,Swiss ball,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
t-pushup,T-Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
triple-stop-barbell-bench-press,Triple-Stop Barbell Bench Press,Chest,Push,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
triple-stop-pushup,Triple-Stop Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
two-arm-medicine-ball-pushup,Two-Arm Medicine-Ball Pushup,Chest,Push,Medicine ball,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
weighted-dip,Weighted Dip,Chest / Triceps,Push,Bar / station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
weighted-pushup,Weighted Pushup,Chest,Push,Body weight,Intermediate,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
wide-hands-pushup,Wide-Hands Pushup,Chest,Push,Body weight,Beginner,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Chest,Develops pressing strength and anterior upper-body capacity.,"Use a load and range that allow clean, repeatable reps."
kneeling-swiss-ball-lat-stretch,Kneeling Swiss-Ball Lat Stretch,Lats / Upper Back,Mobility,Swiss ball,Intermediate,Adult Strength; 50+ Durability; Student Energy; Teen Athlete,Men’s Health Big Book — Back,Maintains usable range of motion for better lifting and daily movement.,"Stretch or mobilize into comfort, not pain."
30-degree-lat-pulldown,30-Degree Lat Pulldown,Lats / Upper Back,Pull,Cable station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
alternating-dumbbell-row,Alternating Dumbbell Row,Upper Back / Lats,Pull,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
band-assisted-chinup,Band-Assisted Chinup,Lats / Upper Back,Pull,Bands,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
barbell-row,Barbell Row,Upper Back / Lats,Pull,Barbell,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
cable-face-pull-with-external-rotation,Cable Face Pull with External Rotation,Lats / Upper Back,Pull,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
cable-row,Cable Row,Upper Back / Lats,Pull,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
cable-row-to-neck-with-external-rotation,Cable Row to Neck with External Rotation,Upper Back / Lats,Pull,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
chinup,Chinup,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
close-grip-chinup,Close-Grip Chinup,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
close-grip-lat-pulldown,Close-Grip Lat Pulldown,Lats / Upper Back,Pull,Cable station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
crossover-chinup,Crossover Chinup,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
crossover-rear-lateral-raise,Crossover Rear Lateral Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
dumbbell-face-pull-with-external-rotation,Dumbbell Face Pull with External Rotation,Upper Back / Lats,Pull,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
dumbbell-row,Dumbbell Row,Upper Back / Lats,Pull,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
ez-bar-pullover,EZ-Bar Pullover,Lats / Upper Back,Pull,Barbell,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
elevated-feet-inverted-row,Elevated-Feet Inverted Row,Upper Back / Lats,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
floor-i-raise,Floor I Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
floor-t-raise,Floor T Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
floor-y-raise,Floor Y Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
incline-i-raise,Incline I Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
incline-l-raise,Incline L Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
incline-t-raise,Incline T Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
incline-w-raise,Incline W Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
incline-y-raise,Incline Y Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
inverted-row,Inverted Row,Upper Back / Lats,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
inverted-row-with-feet-on-swiss-ball,Inverted Row with Feet on Swiss Ball,Upper Back / Lats,Pull,Swiss ball,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
kneeling-lat-pulldown,Kneeling Lat Pulldown,Lats / Upper Back,Pull,Cable station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
kneeling-supported-elbows-out-single-arm-dumbbell-row,Kneeling Supported Elbows-Out Single-Arm Dumbbell Row,Upper Back / Lats,Pull,Dumbbells,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
kneeling-underhand-grip-lat-pulldown,Kneeling Underhand-Grip Lat Pulldown,Lats / Upper Back,Pull,Cable station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
lat-pulldown,Lat Pulldown,Lats / Upper Back,Pull,Cable station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
lying-cable-face-pull-with-external-rotation,Lying Cable Face Pull with External Rotation,Lats / Upper Back,Pull,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
lying-dumbbell-raise,Lying Dumbbell Raise,Upper Back / Rear Delts,Pull,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
lying-supported-elbows-out-dumbbell-row,Lying Supported Elbows-Out Dumbbell Row,Upper Back / Lats,Pull,Dumbbells,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
mixed-grip-chinup,Mixed-Grip Chinup,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
modified-inverted-row,Modified Inverted Row,Upper Back / Lats,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
negative-chinup,Negative Chinup,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
neutral-grip-chinup,Neutral-Grip Chinup,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
overhand-grip-rear-lateral-raise,Overhand-Grip Rear Lateral Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
pullup,Pullup,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
rear-lateral-raise,Rear Lateral Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
rope-handle-cable-row,Rope-Handle Cable Row,Upper Back / Lats,Pull,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
scapular-retraction,Scapular Retraction,Lats / Upper Back,Pull,Bar / station,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
seated-rear-lateral-raise,Seated Rear Lateral Raise,Upper Back / Rear Delts,Pull,General,Beginner,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
single-arm-cable-row,Single-Arm Cable Row,Upper Back / Lats,Pull,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
single-arm-cable-row-and-rotation,Single-Arm Cable Row and Rotation,Upper Back / Lats,Pull,Cable station,Intermediate,Adult Strength; 50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.","Use a load and range that allow clean, repeatable reps."
single-arm-inverted-row,Single-Arm Inverted Row,Upper Back / Lats,Pull,Bar / station,Advanced,50+ Durability; Teen Athlete,Men’s Health Big Book — Back,"Builds upper-back strength, shoulder stability, and posture support.",Best for trained clients; regress when control or comfort is uncertain.
